artigoEmPeriodico	 	2019	1388-0764	http://dx.doi.org/10.1007/s11051-018-4422-0	Surface modification strategy based on the conjugation of NaYF4:5%Eu luminescent nanoprobe with organic aromatic compounds for application in bioimaging assays	JOURNAL OF NANOPARTICLE RESEARCH	DA SILVA VIANA, RODRIGO ; DE MASCENA COSTA, LUCIANA AMARAL ; LEAL, ANDRESSA N. R. ; WILLIAMS, TYRSLAI M. ; LUAN, LIQUIAN ; ZHANG, GUANYU ; WANG, MAODIE ; HARMON, ASHLYN C. ; DOS ANJOS, JANAINA V. ; CUETO, RAFAEL ; FILHO, MANOEL ADRIÃO GOMES ; FALCÃO, EDUARDO H. L. ; VICENTE, MARIA G. H. ; Junior, Severino A. ; MATHIS, J. MICHAEL	B1	
artigoEmPeriodico	 	2019	0257-8972	http://dx.doi.org/10.1016/j.surfcoat.2019.04.040	Effect of initial surface treatment on obtaining a superhydrophobic surface on 5052 aluminum alloy with enhanced anticorrosion properties	SURFACE & COATINGS TECHNOLOGY	DA SILVA, RAFAEL G.C. ; VIEIRA, MAGDA R.S. ; MALTA, MARIA I.C. ; DA SILVA, CARLOS H. ; DE OLIVEIRA, SARA H. ; FILHO, SEVERINO L.U.	A2	
artigoEmPeriodico	 	2019	0022-4596	http://dx.doi.org/10.1016/j.jssc.2019.05.008	Design of new europium-doped luminescent MOFs for UV radiation dosimetric sensing	JOURNAL OF SOLID STATE CHEMISTRY	DE ASSIS, SUELLE G.F. ; SANTOS, GUILHERME C. ; SANTOS, ARTHUR B.S. ; FALCÃO, EDUARDO H.L. ; DA SILVA VIANA, RODRIGO ; JUNIOR, SEVERINO ALVES	Qualis nao identificado	JOURNAL OF SOLID STATE CHEMISTRY
artigoEmPeriodico	 	2019	0032-3861	http://dx.doi.org/10.1016/j.polymer.2019.121767	Fine tuning of polymer content for enhanced structure and luminescent properties of Eu3+:siloxane-poly(methyl methacrylate) hybrids to be applied in photonics	POLYMER	DE JESUS, FILIPE AUGUSTO ; SANTANA, BARBARA VASCONCELOS ; CUNHA BISPO, GIORDANO FREDERICO ; DA SILVA FILHO, CÍCERO INÁCIO ; Júnior, Severino Alves ; GIROLDO VALERIO, MÁRIO ERNESTO ; ALMEIDA CAIUT, JOSÉ MAURÍCIO ; VITORINO SARMENTO, VICTOR HUGO	A1	
artigoEmPeriodico	 	2019	1144-0546	http://dx.doi.org/10.1039/c8nj06420b	Rapid and efficient electrochemical synthesis of a zinc-based nano-MOF for Ibuprofen adsorption	NEW JOURNAL OF CHEMISTRY	DE LIMA NETO, OTÁVIO JOSÉ ; FRÓS, ALLANA CHRISTINA DE OLIVEIRA ; BARROS, BRÁULIO SILVA ; DE FARIAS MONTEIRO, ARTHUR FELIPE ; KULESZA, JOANNA	A2	NEW JOURNAL OF CHEMISTRY (1987)
artigoEmPeriodico	 	2019	0020-1693	http://dx.doi.org/10.1016/j.ica.2019.04.031	Selective adsorption of BTEX on calixarene-based molecular coordination network determined by 13C NMR spectroscopy	INORGANICA CHIMICA ACTA	DE OLIVEIRA FRÓS, ALLANA CHRISTINA ; DE OLIVEIRA, MARIA ALAIDE ; MACÊDO SOARES, ANTONIA ALICE ; HALLWASS, Fernando ; CHOJNACKI, JAROSLAW ; BARROS, BRÁULIO SILVA ; Júnior, Severino Alves ; Kulesza, Joanna	Qualis nao identificado	INORGANICA CHIMICA ACTA
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2019-0386	Effects of Geometrical Feature on Microstructures and Mechanical Properties of Refill Friction Stir Spot Welding 6061 Aluminum Alloy	MATERIALS RESEARCH	FERNANDES, CAMILA ALBUQUERQUE ; URTIGA FILHO, SEVERINO LEOPOLDINO ; SUHUDDIN, UCEU ; SANTOS, JORGE FERNANDEZ DOS	B1	
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2019-0176	Corrosive Behavior of ASTM A131 Grade A36 Carbon Steel Exposed in Diesel S10/ Saline Water	MATERIALS RESEARCH	FRAZÃO, DIANA MAGALHÃES ; Melo, Ivanilda Ramos de ; VIEIRA, MAGDA ROSÂNGELA SANTOS ; URTIGA FILHO, SEVERINO LEOPOLDINO	B1	
artigoEmPeriodico	 	2019	0103-5053	http://dx.doi.org/10.21577/0103-5053.20190176	Nanostructured Systems Obtention Using LbL Self-Assembly or the Cysteine-Assisted Adsorption Method and Their Application as a Water Splitting Single Catalyst	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	GALVÃO, RHAUANE ; BARRETO, PALOMA ; SOARES, THIAGO ; SALES, LETÍCIA ; DOS SANTOS, JEICE ; DE SANTA-CRUZ, LARISSA ; SEEGER, TASSIA ; DUARTE, FABIO ; SILVA, GERMANA ; Machado, Giovanna	B1	
artigoEmPeriodico	 	2019	0884-2914	http://dx.doi.org/10.1557/jmr.2019.23	Electrochemical single-step obtention and characterization of a biomimetic TiO 2</sub> -HA NTs covered by chitosan	JOURNAL OF MATERIALS RESEARCH	GALVÃO, RHAUANE ALMEIDA ; SANTA-CRUZ, LARISSA AGOSTINHO DE ; BARRETO, PALOMA BANTIM ; HORTA, MARLA KAROLYNE DOS SANTOS ; ANDRADE, ANTONIO MARCOS HELGUEIRA DE ; MOURA, FRANCISCO JOSÉ ; AGUILAR, MARILZA SAMPAIO ; PERIPOLLI, SUZANA BOTTEGA ; CAMPOS, JOSÉ BRANT DE ; ARRUDA, ISABEL RENATA DE SOUZA ; Machado, Giovanna	B1	
artigoEmPeriodico	 	2019	1678-4588	http://dx.doi.org/10.1590/001152582019180	Resultado Primário e Ciclo Político-Eleitoral nos Estados Brasileiros (1987-2010)	DADOS - REVISTA DE CIÊNCIAS SOCIAIS	GAMA NETO, RICARDO BORGES	Qualis nao identificado	DADOS - REVISTA DE CIÊNCIAS SOCIAIS
artigoEmPeriodico	 	2019	1144-0546	http://dx.doi.org/10.1039/c9nj02046b	Synthesis and characterisation of [Cu4In(PPh3)3SePh(μ-SePh)3(μ3-SePh)3], and its application as a precursor of a sensitizer for a photocatalyst	NEW JOURNAL OF CHEMISTRY	LANG, ERNESTO ; MELLO, MELINA DE AZEVEDO ; RODRIGUES, JÉSSICA FONSECA ; SALGUEIRO SOARES, THIAGO ANDRÉ ; E SILVA, GERMANA MICHELLE DE MEDEIROS ; PIQUINI, PAULO ; Machado, Giovanna ; TIRLONI, BÁRBARA	A2	NEW JOURNAL OF CHEMISTRY (1987)
artigoEmPeriodico	 	2019	1980-7791	http://dx.doi.org/10.14210/rdp.v14n1.p179-206	O RECURSO POR INCUMPRIMENTO PERANTE O TRIBUNAL EUROPEU DE DIREITOS HUMANOS: UM REFORÇO JURÍDICO AO MECANISMO POLÍTICO DE SUPERVISÃO DE SENTENÇAS	REVISTA ELETRÔNICA DIREITO E POLÍTICA	LEITE, R. A. ; GAMA NETO, R. B.	Qualis nao identificado	REVISTA ELETRÔNICA DIREITO E POLÍTICA
artigoEmPeriodico	 	2019	0925-3467	http://dx.doi.org/10.1016/j.optmat.2019.109332	Tb3+/Pr3+ co-doped ZnMoO4 phosphor with tunable photoluminescence and energy transfer processes	OPTICAL MATERIALS	LOVISA, L.X. ; FERNANDES, Y.L.R.L. ; GARCIA, L.M.P. ; BARROS, B.S. ; Longo, E. ; PASKOCIMAS, C.A. ; BOMIO, M.R.D. ; MOTTA, F.V.	A2	
artigoEmPeriodico	 	2019	0921-5107	http://dx.doi.org/10.1016/j.mseb.2019.03.019	Self-assembly of polyhedral oligomeric silsesquioxane structures through ion exchange	Materials Science and Engineering B-Advanced Functional Solid-State Materials	LUVISON, C. ; WANKE, C. H. ; MOURA, S. ; G. Machado ; FARIAS, M. C. M. ; Bianchi, O	A2	
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2018-0882	Superhydrophobic Surfaces on 5052 Aluminum Alloy Obtained from LDH Film Modified with Stearic Acid for Enhanced Corrosion Protection	MATERIALS RESEARCH	MALTA, MARIA ISABEL COLLASIUS ; VIEIRA, MAGDA ROSÂNGELA SANTOS ; SILVA, RAFAEL GLEYMIR CASANOVA DA ; SILVA, LEONARDO MENDONÇA CARNEIRO DA ; ARAÚJO, EDVAL GONÇALVES DE ; MACIEL, SARA HORÁCIO DE OLIVEIRA ; URTIGA FILHO, SEVERINO LEOPOLDINO	B1	
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2018-0877	Evaluation of Abrasive Wear in UNS S32101 and S32750 Duplex Stainless Steels Submitted to Friction Stir Processing	MATERIALS RESEARCH	MARQUES, IGOR J. ; SILVA, F. J. ; FRANCA, T. S. ; SOUSA, G. G. ; HERMENEGILDO, T.F.C. ; SANTOS, T. F. A.	B1	
artigoEmPeriodico	 	2019	0925-8388	http://dx.doi.org/10.1016/j.jallcom.2019.153170	Rapid precipitation of intermetallic phases during isothermal treatment of duplex stainless steel joints produced by friction stir welding	JOURNAL OF ALLOYS AND COMPOUNDS	MARQUES, IGOR J. ; SILVA, FLAVIO J. ; SANTOS, TIAGO F.A.	A2	
artigoEmPeriodico	 	2019	1678-2690	http://dx.doi.org/10.1590/0001-3765201920190082	Hydrogen production from aqueous glycerol using titanate nanotubes decorated with Au nanoparticles as photocatalysts	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)	MARQUES, THALLES M.F. ; MORAIS, REINALDO N. ; NOBRE, FRANCISCO X. ; ROCHA, JARDEL M. ; GHOSH, ANUPAMA ; SOARES, THIAGO ANDRÉ S. ; VIANA, BARTOLOMEU C. ; Machado, Giovanna ; COSTA, JEAN CLAUDIO S. ; MATOS, JOSÉ M.E. DE	B1	
artigoEmPeriodico	 	2019	0026-265X	http://dx.doi.org/10.1016/j.microc.2019.104037	Luminescent sensors for nitroaromatic compound detection: Investigation of mechanism and evaluation of suitability of using in screening test in forensics	MICROCHEMICAL JOURNAL	MAURICIO, FILIPE GABRIEL MARTINEZ ; SILVA, JOSÉ YAGO RODRIGUES ; TALHAVINI, MÁRCIO ; Júnior, Severino Alves ; WEBER, INGRID TÁVORA	A2	MICROCHEMICAL JOURNAL (PRINT)
artigoEmPeriodico	 	2019	2230-8407		OPTICAL PROPERTIES PYRIMIDINE DERIVATIVES: EFFECT OF ELECTRON-DONOR/ACCEPTOR SUBSTITUENTS IN MOLECULAR TOPOLOGY	International research journal of pharmacy	MONTE, Z. S. ; LUZ, L. L. ; MAURICIO, FILIPE GABRIEL MARTINEZ ; WEBER, I. T. ; Silva R. O. ; JUNIOR, S. ALVES ; FALCAO, E. P. S. ; MELO, S. J.	Qualis nao identificado	International research journal of pharmacy
artigoEmPeriodico	 	2019	2320-0294		QUALITY CONTROL IN THE MEASUREMENT OF PARAMETERS OF ELECTRICAL CONNECTIONS ACCORDING TO BRAZILIAN STANDARD	International Journal of Engineering, Science and Mathematics	OLIVEIRA, C.A.N.; ARAUJO, R. P. ; ROLIM, T. L. ; GUIMARÃES, P. B. ; Oliveira, José Eduardo ; BANDEIRA, J. M. ; GUEDES, G. S.	B5	JOURNAL OF ENGINEERING
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2019-0525	Evaluation of Microbiological Corrosion of API 5L X80 Steel by Electrochemical Techniques in Produced Water by the Oil Industry	MATERIALS RESEARCH	OLIVEIRA, EDKARLLA SOUSA DANTAS DE ; PEREIRA, ROSEANA FLORENTINO DA COSTA ; LIMA, MARIA ALICE GOMES DE ANDRADE ; URTIGA FILHO, SEVERINO LEOPOLDINO	B1	
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2018-0786	Study of the Plastic Deformation of API 5L X80 Steel Exposed to the Microbiological Action of Produced Water	MATERIALS RESEARCH	OLIVEIRA, EDKARLLA SOUSA DANTAS DE ; PEREIRA, ROSEANA FLORENTINO DA COSTA ; MONTOYA, MAXIME ; LIMA, MARIA ALICE GOMES DE ANDRADE ; URTIGA FILHO, SEVERINO LEOPOLDINO	B1	
artigoEmPeriodico	 	2019	1678-5169	http://dx.doi.org/10.1590/0104-1428.04018	Gamma irradiation effects on polycaprolactone/zinc oxide nanocomposite films	Polímeros: ciência e Tecnologia	PAULA, MARCOS ; DIEGO, IVO ; DIONISIO, RONALDO ; VINHAS, GLÓRIA ; Alves, Severino	B2	
artigoEmPeriodico	 	2019	1517-7076	http://dx.doi.org/10.1590/s1517-707620190001.0658	Performance evaluation of NiCo2O4 spinel as a catalyst for partial oxidation of methane	Materia-Rio de Janeiro	PERES, ANA PAULA DA SILVA ; LIMA, ANDRÉIA CAVALCANTE DE ; BARROS, Bráulio Silva ; RUIZ, JUAN ALBERTO CHAVEZ ; MELO, Dulce Maria de Araújo	B2	
artigoEmPeriodico	 	2019	0022-2313	http://dx.doi.org/10.1016/j.jlumin.2019.01.007	Photostable soft materials with tunable emission based on sultone functionalized ionic liquid and lanthanides ions	JOURNAL OF LUMINESCENCE	RAMOS, TALITA J.S. ; BERTON, GUILHERME H. ; Júnior, Severino A. ; CASSOL, TANIA M.	A2	
artigoEmPeriodico	 	2019	2045-2322	http://dx.doi.org/10.1038/s41598-019-43835-x	Photoluminescent organisms: how to make fungi glow through biointegration with lanthanide metal-organic frameworks	Scientific Reports	ROSÁRIO, JEFERSON ; DA LUZ, LEONIS L. ; GERIS, REGINA ; RAMALHO, JÉSSICA G. S. ; DA SILVA, ANTÔNIO F. ; Júnior, Severino Alves ; MALTA, MARCOS	A1	SCIENTIFIC REPORTS
artigoEmPeriodico	 	2019	1674-4799	http://dx.doi.org/10.1007/s12613-019-1790-0	Effect of high anodic polarization on the passive layer properties of superduplex stainless steel friction stir welds at different chloride electrolyte pH values and temperatures	International Journal of Minerals Metallurgy and Materials	SANTA-CRUZ, L. A. ; MACHADO, G. ; VICENTE, A. A. ; HERMENEGILDO, T. F. C. ; SANTOS, T. F. A.	Qualis nao identificado	International Journal of Minerals Metallurgy and Materials
artigoEmPeriodico	 	2019	2192-9262	http://dx.doi.org/10.1007/s13632-018-0506-6	Corrosion Evaluation of Duplex and Superduplex Stainless Steel Friction Stir Welds Using Potentiodynamic Measurements and Immersion Tests in Chloride Environments	METALLOGRAPHY, MICROSTRUCTURE, AND ANALYSIS (PRINT)	SANTA CRUZ, LARISSA A. ; MARQUES, IGOR J. ; URTIGA FILHO, SEVERINO L. ; HERMENEGILDO, TAHIANA F. C. ; SANTOS, TIAGO F. A.	B3	
artigoEmPeriodico	 	2019	1517-7076	http://dx.doi.org/10.1590/s1517-707620190001.0640	Influência da adição de Sn na resistência à corrosão e na capacidade de recarga da liga Pb-1,5%Sn para grade positiva de baterias chumbo-ácido	Materia-Rio de Janeiro	SANTOS, ABDIAS GOMES DOS ; VIEIRA, MAGDA ROSÂNGELA SANTOS ; URTIGA FILHO, SEVERINO LEOPOLDINO ; SILVA, Flávio José da	B2	
artigoEmPeriodico	 	2019	0048-9697	http://dx.doi.org/10.1016/j.scitotenv.2018.12.444	Cytotoxic and genotoxic effects of silver nanoparticles on meristematic cells of Allium cepa roots: A close analysis of particle size dependence	SCIENCE OF THE TOTAL ENVIRONMENT	SCHERER, MARISA D. ; SPOSITO, JULIANA C.V. ; FALCO, WILLIAM F. ; GRISOLIA, ALEXEIA B. ; ANDRADE, LUIS H.C. ; LIMA, SANDRO M. ; Machado, Giovanna ; NASCIMENTO, VALTER A. ; GONÇALVES, DANIEL A. ; WENDER, HEBERTON ; OLIVEIRA, SAMUEL L. ; CAIRES, ANDERSON R.L.	A1	
artigoEmPeriodico	 	2019	0957-4484	http://dx.doi.org/10.1088/1361-6528/aaf17e	New strategy to obtain high surface area anatase nanotube/AuNP photocatalyst	NANOTECHNOLOGY	SCHNEID, ANDRESSA C ; QUEVEDO, ANTONIO B ; PEREIRA, MARCELO B ; ARAÚJO, PEDRO F ; FRANCO, NOELIA ; Machado, Giovanna ; MORO, CELSO C ; DE MENEZES, ELIANA W ; COSTA, TANIA M H ; BENVENUTTI, EDILSON V	Qualis nao identificado	NANOTECHNOLOGY
artigoEmPeriodico	 	2019	0254-0584	http://dx.doi.org/10.1016/j.matchemphys.2019.121737	Coordination polymer-derived CuO catalysts for oxidative degradation of methylene blue	MATERIALS CHEMISTRY AND PHYSICS	SILVA JUNIOR, O.J. ; MONTEIRO, A.F.F. ; OLIVEIRA, J.B.L. ; ARAÚJO, A.M.U. ; SILVA, D.G. ; KULESZA, J. ; BARROS, B.S.	A2	
artigoEmPeriodico	 	2019	0104-9224	http://dx.doi.org/10.1590/0104-9224/si24.23	Aplicação da Metodologia para Qualificação de Procedimentos de Soldagem de Tubulações Industriais Conforme Parâmetros dos Códigos ASME B31.3 e ASME SECTION IX*	Soldagem & Inspecao	SILVA, ANA CARLA S. ; ARAÚJO, HELEN R. ; MACENA, VAGNER A. ; MORENO, JOÃO R. SARTORI ; VICENTE, ANDRÉ A. ; HERMENEGILDO, TAHIANA F. C. ; SANTOS, TIAGO F. A.	B2	
artigoEmPeriodico	 	2019	0928-4931	http://dx.doi.org/10.1016/j.msec.2019.04.078	A thermo-responsive adsorbent-heater-thermometer nanomaterial for controlled drug release: (ZIF-8,EuxTby)@AuNP core-shell	Materials Science & Engineering C-Materials for Biological Applications	SILVA, JOSÉ YAGO R. ; PROENZA, YAICEL G. ; DA LUZ, LEONIS L. ; DE SOUSA ARAÚJO, SILVANY ; FILHO, MANOEL ADRIÃO GOMES ; JUNIOR, SEVERINO ALVES ; Soares, Thereza A. ; LONGO, RICARDO L.	B1	
artigoEmPeriodico	 	2019	1047-4838	http://dx.doi.org/10.1007/s11837-019-03677-4	Comparison of Friction Surfacing Process and Coating Characteristics of Ti-6Al-4V and Ti Grade 1	JOM	VALE, NATALIA ; FITSEVA, VIKTORIA ; URTIGA FILHO, SEVERINO L. ; DOS SANTOS, JORGE F. ; HANKE, STEFANIE	Qualis nao identificado	JOM
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2018-0888	Effects of Friction Surfacing on the Characteristics of Consumable Rods of Ti-6Al-4V	MATERIALS RESEARCH	VALE, NATALIA DO ; FITSEVA, VIKTORIA ; HANKE, STEFANIE ; URTIGA FILHO, SEVERINO LEOPOLDINO ; SANTOS, JORGE FERNANDEZ DOS	B1	
artigoEmPeriodico	 	2019	2238-7854	http://dx.doi.org/10.1016/j.jmrt.2018.11.009	Study of the high temperature oxidation and Kirkendall porosity in dissimilar welding joints between FE-CR-AL alloy and stainless steel AISI 310 after isothermal heat treatment at 1150 °C in air	Journal of Materials Research and Technology-JMR&T	VICENTE, ANDRÉ DE ALBUQUERQUE ; MORENO, JOAO ROBERTO SARTORI ; ESPINOSA, DENISE CROCCE ROMANO ; SANTOS, TIAGO FELIPE DE ABREU ; TENÓRIO, JORGE ALBERTO SOARES	B3	JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY
artigoEmPeriodico	 	2019	0925-8388	http://dx.doi.org/10.1016/j.jallcom.2018.10.136	Nucleation and growth of graphite particles in ductile cast iron	JOURNAL OF ALLOYS AND COMPOUNDS	VICENTE, ANDRÉ DE ALBUQUERQUE ; SARTORI MORENO, JOÃO ROBERTO ; SANTOS, TIAGO FELIPE DE ABREU ; ESPINOSA, DENISE CROCCE ROMANO ; TENÓRIO, JORGE ALBERTO SOARES	A2	
artigoEmPeriodico	 	2019	1517-7076	http://dx.doi.org/10.1590/s1517-707620190003.0766	Evaluation of two-step transformation in Ni-rich titanium-nickel alloys using thermal and internal friction analyses	Materia-Rio de Janeiro	VIRGOLINO, FILLIPE STEPHANY DE SOUZA ; SANTOS, TIAGO FELIPE DE ABREU ; OLIVEIRA, CARLOS AUGUSTO NASCIMENTO ; GONZALEZ, Cezar Henrique ; SOUSA, GUILHERME GADELHA DE ; VILELA, JOSÉ MÁRIO CARNEIRO ; ANDRADE, MARGARETH SPANGLER	B2	
artigoEmPeriodico	 	2019	0928-4931	http://dx.doi.org/10.1016/j.msec.2019.110194	Physicochemical characterization, released profile, and antinociceptive activity of diphenhydraminium ibuprofenate supported on mesoporous silica	Materials Science & Engineering C-Materials for Biological Applications	WUST, KELI M. ; BECK, THAÍSSA S. ; BURROW, ROBERT ; OLIVEIRA, SARA M. ; BRUM, EVELYNE S. ; BRUSCO, INDIARA ; Machado, Giovanna ; BIANCHI, OTAVIO ; VILLETTI, MARCOS A.P. ; FRIZZO, CLARISSA P.	B1	
artigoEmPeriodico	 	2018	1932-7447	http://dx.doi.org/10.1021/acs.jpcc.7b12219	Core-Shell Fe-Pt Nanoparticles in Ionic Liquids: Magnetic and Catalytic Properties	Journal of Physical Chemistry C	ADAMSKI, JANICE ; QADIR, MUHAMMAD I. ; SERNA, JILDER P. ; BERNARDI, FABIANO ; BAPTISTA, DANIEL L. ; SALLES, BENJAMIN R. ; NOVAK, MIGUEL A. ; Machado, Giovanna ; DUPONT, Jairton	A1	JOURNAL OF PHYSICAL CHEMISTRY. C
artigoEmPeriodico	 	2018	1759-9660	http://dx.doi.org/10.1039/c8ay01341a	NIR hyperspectral images for identification of gunshot residue from tagged ammunition	Analytical Methods	ALBINO DE CARVALHO, MARCELA ; TALHAVINI, MARCIO ; PIMENTEL, MARIA FERNANDA ; AMIGO, JOSÉ MANUEL ; PASQUINI, CELIO ; JUNIOR, SEVERINO ALVES ; WEBER, INGRID TÁVORA	B1	ANALYTICAL METHODS
artigoEmPeriodico	 	2018	1388-0764	http://dx.doi.org/10.1007/s11051-017-4119-9	An investigation on the preparation of nanocrystalline hydrous zirconia from zirconium tungstate	JOURNAL OF NANOPARTICLE RESEARCH	ANTUNES, M. ; PEROTTONI, C. A. ; GOUVÊA, D. ; MACHADO, G. ; ZORZI, J. E.	B1	
artigoEmPeriodico	 	2018	2365-6549	http://dx.doi.org/10.1002/slct.201801423	Metal-Organic Framework Nanocrystals	ChemistrySelect	BARROS, BRÁULIO SILVA ; DE'LIMA'NETO, OTÁVIO JOSÉ ; DE'OLIVEIRA'FRÓS, ALLANA CHRISTINA ; KULESZA, JOANNA	Qualis nao identificado	ChemistrySelect
artigoEmPeriodico	 	2018	0167-7322	http://dx.doi.org/10.1016/j.molliq.2018.08.066	Interaction of pharmaceutical ionic liquids with TiO2 in anatase and rutile phase	JOURNAL OF MOLECULAR LIQUIDS	BENDER, CAROLINE R. ; SALBEGO, PAULO R.S. ; WUST, KELI ; FARIAS, CARLA A.A. ; BECK, THAÍSSA S. ; Machado, Giovanna ; VAUCHER, RODRIGO A. ; MARTINS, MARCOS A.P. ; FRIZZO, CLARISSA P.	B1	JOURNAL OF MOLECULAR LIQUIDS (PRINT)
artigoEmPeriodico	 	2018	0008-5472	http://dx.doi.org/10.1158/1538-7445.am2018-5877	Abstract 5877: Antitumor activity of the mesoionic compound MI H 2.4 on breast cancer cell lines	CANCER RESEARCH	COSTA, LUCIANA AMARAL DE MASCENA ; LIMA, FILIPE CÁSSIO SILVA DE ; VIANA, RODRIGO DA SILVA ; ARAUJO, SILVANY DE SOUSA ; WISCHRAL, AUREA ; SOUZA, HELIVALDO DIÓGENES DA SILVA ; ATHAYDE-FILHOA, PETRÔNIO FILGUEIRAS DE ; AZEVEDO, LEANDRO ARAÚJO DE ; Júnior, Severino Alves ; ADRIÃO, MANOEL ; MATHIS, J. MICHAEL	Qualis nao identificado	CANCER RESEARCH
artigoEmPeriodico	 	2018	0360-3199	http://dx.doi.org/10.1016/j.ijhydene.2018.06.176	Hydrogen photocatalytic production from the self-assembled films of PAH/PAA/TiO2 supported on bacterial cellulose membranes	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY	DAL?ACQUA, NICOLLE ; FARIA, ANA CLAUDIA RANGEL ; VEBBER, MÁRIO CÉSAR ; DA SILVA BARUD, HERNANE ; Giovanela, Marcelo ; Machado, Giovanna ; DA SILVA CRESPO, JANAINA	A2	
artigoEmPeriodico	 	2018	1144-0546	http://dx.doi.org/10.1039/c7nj04625a	Solid-state tunable photoluminescence in Gadolinium-Organic Frameworks: effect of the Eu3+ content and co-doping with Tb3+	NEW JOURNAL OF CHEMISTRY	DO NASCIMENTO, JARLEY FAGNER SILVA ; DE ARAÚJO, ANTONIO MARCOS URBANO ; KULESZA, JOANNA ELZBIETA ; DE FARIAS MONTEIRO, ARTHUR FELIPE ; Júnior, Severino Alves ; BARROS, BRÁULIO	A2	NEW JOURNAL OF CHEMISTRY (1987)
artigoEmPeriodico	 	2018	1806-3691	http://dx.doi.org/10.1007/s40430-018-1372-5	Effect of the energy input on the microstructure and mechanical behavior of AA2024-T351 joint produced by friction stir welding	JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (ONLINE)	DO VALE, NATÁLIA LOPES ; TORRES, EDWAR ANDRÉS ; Santos, Tiago Felipe de Abreu ; URTIGA FILHO, SEVERINO LEOPOLDINO ; DOS SANTOS, JORGE F.	B1	
artigoEmPeriodico	 	2018	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2017-0066	Biocorrosion on Surface of ASTM A283 Carbon Steel, Exposed in Diesel S10 and Tap Water	MATERIALS RESEARCH	FRAZÃO, DIANA MAGALHÃES ; Melo, Ivanilda Ramos de ; MONTOYA, MAXIME ; Urtiga Filho, Severino Leopoldino	B1	
artigoEmPeriodico	 	2018	2574-0962	http://dx.doi.org/10.1021/acsaem.8b00375	Enhanced Visible-Light Photoelectrochemical Conversion on TiO 2</sub> Nanotubes with Bi 2</sub> S 3</sub> Quantum Dots Obtained by in Situ Electrochemical Method	ACS Applied Energy Materials	FREITAS, DENILSON V. ; GONZÁLEZ-MOYA, JOHAN R. ; SOARES, THIAGO A. S. ; SILVA, RICHARDSON R. ; OLIVEIRA, DYEGO M. ; MANSUR, HERMAN S. ; Machado, Giovanna ; NAVARRO, MARCELO	Qualis nao identificado	ACS Applied Energy Materials
artigoEmPeriodico	 	2018	2452-3216	http://dx.doi.org/10.1016/j.prostr.2018.12.019	Simulated running ductile fracture experiment using rubber tube	Procedia Structural Integrity	FURUTA, YASUYUKI ; NISHIZONO, YUKI ; AIHARA, SHUJI ; YANAGIMOTO, FUMINORI ; KAWABATA, TOMOYA ; SHIBANUMA, KAZUKI ; Oliveira, Carlos A. ; SHINOHARA, ARMANDO H.	Qualis nao identificado	Procedia Structural Integrity
artigoEmPeriodico	 	2018	2238-6912	http://dx.doi.org/10.22456/2238-6912.87991	RÚSSIA, CHINA E A COREIA DO SUL NO MERCADO DE DEFESA SUL-AMERICANO	Austral: Brazilian Journal of Strategy & International Relations	GAMA NETO, R. B	Qualis nao identificado	Austral: Brazilian Journal of Strategy & International Relations
artigoEmPeriodico	 	2018	1981-8963	http://dx.doi.org/10.5205/1981-8963-v12i4a234869p1122-1132-2018	CHITOSAN, ZINC OXIDE AND PINK PEPPER ESSENTIAL OIL: POTENTIAL PROPERTIES AND APPLICATIONS	Revista de Enfermagem UFPE on line	GARCIA, S. M. S. ; ANDRADE, M. F. ; SILVA, I. D. L. ; Vasconcelos, Iane. B. ; ALVES-JÚNIOR, S ; ARAUJO, E. C. ; ALMEIDA, Y. M. B. ; VINHAS, G. M.	B4	REVISTA DE ENFERMAGEM UFPE ON LINE
artigoEmPeriodico	 	2018	1984-9710		Nanobiocompósito de quitosana e nanowhiskers de celulose sob forma de hidrogel para curativo	CIENTEC: Revista de ciência,tecnologia e humanidades do IFPE	GARCIA, S. M. S. ; GOIAS, G. S. ; SILVA, M. F. ; SILVA, I. D. L. ; LIMA, J. C. C. ; Vasconcelos I.B. ; ALVES-JÚNIOR, S ; VINHAS, G. M.	B5	
