artigoEmPeriodico	 	2020	0020-1693	http://dx.doi.org/10.1016/j.ica.2020.119985	Copper and copper-manganese 1D coordination polymers: synthesis optimization, crystal structure and preliminary studies as catalysts for baylis-hillman reactions	INORGANICA CHIMICA ACTA	DE ANDRADE, JULYANNA CANDIDO DUTRA ; SILVA, LUCAS ARAUJO TRAJANO ; LIMA-JÚNIOR, CLAUDIO GABRIEL ; CHOJNACKI, JAROSLAW ; DE ALMEIDA VASCONCELOS, MÁRIO LUIZ ARAÚJO ; DA SILVA, RODOLFO BEZERRA ; Alves Júnior, Severino ; da Silva, Fausthon Fred	Qualis nao identificado	INORGANICA CHIMICA ACTA
artigoEmPeriodico	 	2020	0254-0584	http://dx.doi.org/10.1016/j.matchemphys.2019.122296	Study of microbiologically induced corrosion of 5052 aluminum alloy by sulfate-reducing bacteria in seawater	MATERIALS CHEMISTRY AND PHYSICS	DE ANDRADE, JÉSSICA SIMÕES ; VIEIRA, MAGDA ROSÂNGELA SANTOS ; OLIVEIRA, SARA HORÁCIO ; DE MELO SANTOS, SUSEANNE KEDMA ; URTIGA FILHO, SEVERINO LEOPOLDINO	A2	
artigoEmPeriodico	 	2020	2045-2322	http://dx.doi.org/10.1038/s41598-020-73848-w	ZIF-8 as a promising drug delivery system for benznidazole: development, characterization, in vitro dialysis release and cytotoxicity	Scientific Reports	DE MOURA FERRAZ, LESLIE RAPHAEL ; TABOSA, ALINNE ÉLIDA GONÇALVES ALVES ; DA SILVA NASCIMENTO, DÉBORA DOLORES SOUZA ; FERREIRA, ALINE SILVA ; DE ALBUQUERQUE WANDERLEY SALES, VICTOR ; SILVA, JOSÉ YAGO RODRIGUES ; Júnior, Severino Alves ; ROLIM, LARISSA ARAÚJO ; DE SOUZA PEREIRA, JORGE JOSÉ ; ROLIM-NETO, PEDRO JOSÉ	A1	SCIENTIFIC REPORTS
artigoEmPeriodico	 	2020	1773-2247	http://dx.doi.org/10.1016/j.jddst.2020.101876	Synthesis, characterization and cytotoxicity of the Eugenia brejoensis essential oil inclusion complex with β-cyclodextrin	JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY	DE SANTANA, NATALY AMORIM ; DA SILVA, RAYANE CRISTINE SANTOS ; FOURMENTIN, SOPHIE ; DOS ANJOS, KEICYANNE FERNANDA LESSA ; OOTAN, MÁRCIO AKIO ; DA SILVA, ALEXANDRE GOMES ; PEREIRA ARAÚJO, BIANCA GALÚCIO ; DOS SANTOS CORREIA, MARIA TEREZA ; DA SILVA, MÁRCIA VANUSA ; Machado, Giovanna	C	SCIENCE AND TECHNOLOGY
artigoEmPeriodico	 	2020	2213-3437	http://dx.doi.org/10.1016/j.jece.2020.103745	Preparation, characterization and application of polymeric thin films containing silver and copper nanoparticles with bactericidal activity	JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING	ELTZ, FABIANA ZARPELON ; VEBBER, MÁRIO CÉSAR ; AGUZOLLI, CESAR ; Machado, Giovanna ; CRESPO, JANAINA DA SILVA ; Giovanela, Marcelo	B3	
artigoEmPeriodico	 	2020	1773-2247	http://dx.doi.org/10.1016/j.jddst.2020.102117	Graphene quantum dots decorated with imatinib for leukemia treatment	JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY	FELIX, DANIELE MENDES ; REBELO ALENCAR, LUCIANA MAGALHÃES ; DUARTE DE MENEZES, FREDERICO ; MIDLEJ, VICTOR DO VALLE PEREIRA ; AGUIAR, LORAYNE ; GEMINI PIPERNI, SARA ; ZHANG, JIAN ; LIU, YIN ; RICCI-JUNIOR, EDUARDO ; ALEXIS, FRANK ; JUNIOR, SEVERINO ALVES ; ZHU, LIN ; SANTOS-OLIVEIRA, RALPH	C	SCIENCE AND TECHNOLOGY
artigoEmPeriodico	 	2020	0268-3768	http://dx.doi.org/10.1007/s00170-020-05343-5	Investigation of transverse shrinkage and angular distortion caused by hybrid laser-arc welding	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY	FERNANDES, CAMILA ALBUQUERQUE ; DO VALE, NATÁLIA LOPES ; DE ABREU SANTOS, TIAGO FELIPE ; URTIGA FILHO, SEVERINO LEOPOLDINO	B1	THE INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY (INTERNET)
artigoEmPeriodico	 	2020	1549-9596	http://dx.doi.org/10.1021/acs.jcim.9b00785	Are the Absorption Spectra of Doxorubicin Properly Described by Considering Different Tautomers?	Journal of Chemical Information and Modeling	FLORÊNCIO E SILVA, EDVONALDO ; MACHADO, EDNA S. ; Vasconcelos, Iane B. ; Junior, Severino A. ; L. DUTRA, JOSÉ DIOGO ; FREIRE, Ricardo O. ; da Costa, Nivan B.	Qualis nao identificado	Journal of Chemical Information and Modeling
artigoEmPeriodico	 	2020	2675-1488	http://dx.doi.org/10.5281/zenodo.3785186	Impacto da Covid-19 Sobre a Economia Mundial	BOCA - Boletim de Conjunura	GAMA NETO, RICARDO BORGES	Qualis nao identificado	BOCA - Boletim de Conjunura
artigoEmPeriodico	 	2020	0167-577X	http://dx.doi.org/10.1016/j.matlet.2020.128527	Photoluminescent blossom tree-like carbon nanotubes decorated with polymer nanoparticles with high colloidal stability	MATERIALS LETTERS	IBAÑEZ, CRISTAL ; PELAGIO-FLORES, MIGUEL ; SILVA, SIDICLEIA B.C. ; VEGA-CANTÚ, YADIRA I. ; ALVES-JR, SEVERINO ; GALEMBECK, André	A2	
