artigoEmPeriodico	 	2020	2349-6495	http://dx.doi.org/10.22161/ijaers.710.11	Study on the effect of ferrite number on impact toughness of austenitic stainless steels at low temperatures	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	VICENTE, ANDRÉ DE ALBUQUERQUE ; D'SILVA, PETER ALOYSIUS ; JOS, BOBBY ; SANTOS, TIAGO FELIPE DE ABREU ; TENÓRIO, JORGE ALBERTO SOARES		
artigoEmPeriodico	 	2020	2349-6495	http://dx.doi.org/10.22161/ijaers.711.34	Study on the effect of nitrogen content and cooling rate on the ferrite number of austenitic stainless steels	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	VICENTE, ANDRÉ DE ALBUQUERQUE ; D'SILVA, PETER ALOYSIUS ; SADANANDAN, SIBI ; SANTOS, TIAGO FELIPE DE ABREU ; TENÓRIO, JORGE ALBERTO SOARES		
artigoEmPeriodico	 	2020	2349-6495	http://dx.doi.org/10.22161/ijaers.77.37	The effect of shielding gases in the Ferrite Number of austenitic stainless steels joints through GMAW	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	VICENTE, ANDRÉ DE ALBUQUERQUE ; D'SILVA, PETER ALOYSIUS ; SANTOS, ITALO LEONARDO DOS ; AGUIAR, RENATO RODRIGUES DE ; BOTELHO JUNIOR, AMILTON BARBOSA ; SANTOS, TIAGO FELIPE DE ABREU		
artigoEmPeriodico	 	2020	0954-4062	http://dx.doi.org/10.1177/0954406220957053	Influence of welding gases and filler metals on hybrid laser-GMAW and Laser-FCAW welds	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE	WALLERSTEIN, D ; VAAMONDE, E ; PRADA, A ; TORRES, EA ; URTIGA FILHO, SL ; SANTOS, TFA		
artigoEmPeriodico	 	2019	1073-5623	http://dx.doi.org/10.1007/s11661-019-05293-y	Predominant Solidification Modes of 316 Austenitic Stainless Steel Coatings Deposited by Laser Cladding on 304 Stainless Steel Substrates	METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE	APOLINARIO, L. H. R. ; WALLERSTEIN, D. ; MONTEALEGRE, M. A. ; URTIGA FILHO, S. L. ; TORRES, E. A. ; HERMENEGILDO, T. F. C. ; SANTOS, T. F. A.		
artigoEmPeriodico	 	2019	1526-6125	http://dx.doi.org/10.1016/j.jmapro.2019.05.040	Analysis of the surface roughness and cutting tool wear using a vapor compression assisted cooling system to cool the cutting fluid in turning operation	Journal of Manufacturing Processes	ARAÚJO, ROGÉRIO PONTES ; ROLIM, TIAGO L ; OLIVEIRA, CARLOS A ; MOURA, ALEX E ; SILVA, JOSÉ CARLOS A		
artigoEmPeriodico	 	2019	1678-5878	http://dx.doi.org/10.1007/s40430-019-1674-2	Failure pressure prediction of corroded pipes under combined internal pressure and axial compressive force	Journal of the Brazilian Society of Mechanical Sciences and Engineering	BRUÈRE, VIVIANNE M. ; BOUCHONNEAU, N. ; MOTTA, R. ; AFONSO, S. ; WILLMERSDORF, R. ; LYRA, P. ; TORRES, J. ; ANDRADE, E. ; CUNHA, D.		
artigoEmPeriodico	 	2019	2164-6341	http://dx.doi.org/10.32604/jrm.2019.01833	Poly (Butylene Adipate-Co-Terephthalate) and Poly (--Caprolactone) and Their Bionanocomposites with Cellulose Nanocrystals: Thermo-Mechanical Properties and Cell Viability Study	JOURNAL OF RENEWABLE MATERIALS	CRISTINA BRANCIFORTI, MARCIA ; FARIA BELLANI, CAROLINE ; LIPPARELLI MORELLI, CAROLINA ; FERR, ALICE ; BENKIRANE-JESSEL, NADIA ; ELIDA SUMAN BRETAS, ROSARIO		
artigoEmPeriodico	 	2019	0967-3911	http://dx.doi.org/10.1177/0967391119874994	Blend of recycled poly(ethylene terephthalate) and polycarbonate with polyaniline for antistatic packaging	POLYMERS & POLYMER COMPOSITES	DA SILVA, ANA MARIA G ; BARCELOS, KARINA DE ALMEIDA ; DA SILVA, MERCÊS COELHO ; Morelli, Carolina Lipparelli		
artigoEmPeriodico	 	2019	0257-8972	http://dx.doi.org/10.1016/j.surfcoat.2019.04.040	Effect of initial surface treatment on obtaining a superhydrophobic surface on 5052 aluminum alloy with enhanced anticorrosion properties	SURFACE & COATINGS TECHNOLOGY	DA SILVA, RAFAEL G.C. ; VIEIRA, MAGDA R.S. ; MALTA, MARIA I.C. ; DA SILVA, CARLOS H. ; DE OLIVEIRA, SARA H. ; FILHO, SEVERINO L.U.		
artigoEmPeriodico	 	2019	1144-0546	http://dx.doi.org/10.1039/c8nj06420b	Rapid and efficient electrochemical synthesis of a zinc-based nano-MOF for Ibuprofen adsorption	NEW JOURNAL OF CHEMISTRY	DE LIMA NETO, OTÁVIO JOSÉ ; FRÓS, ALLANA CHRISTINA DE OLIVEIRA ; BARROS, BRÁULIO SILVA ; DE FARIAS MONTEIRO, ARTHUR FELIPE ; KULESZA, JOANNA		
artigoEmPeriodico	 	2019	1359-8368	http://dx.doi.org/10.1016/j.compositesb.2018.10.050	Effects of hybridization on the mechanical properties of composites reinforced by piassava fibers tissue	COMPOSITES PART B-ENGINEERING	DE OLIVEIRA FILHO, GENILSON CUNHA ; DE SOUSA MOTA, RUI CARLOS ; DA CONCEICAO, ANA CLAUDIA RANGEL ; LEAO, MIRTANIA ANTUNES ; DE ARAUJO FILHO, OSCAR OLIMPIO		
artigoEmPeriodico	 	2019	0020-1693	http://dx.doi.org/10.1016/j.ica.2019.04.031	Selective adsorption of BTEX on calixarene-based molecular coordination network determined by 13C NMR spectroscopy	INORGANICA CHIMICA ACTA	DE OLIVEIRA FRÓS, ALLANA CHRISTINA ; DE OLIVEIRA, MARIA ALAIDE ; MACÊDO SOARES, ANTONIA ALICE ; HALLWASS, FERNANDO ; CHOJNACKI, JAROSLAW ; BARROS, BRÁULIO SILVA ; Júnior, Severino Alves ; KULESZA, JOANNA		
artigoEmPeriodico	 	2019	0022-2860	http://dx.doi.org/10.1016/j.molstruc.2019.02.048	Concrete paving blocks: Structural, thermodynamic, fluorescence, optical and mechanical properties	JOURNAL OF MOLECULAR STRUCTURE	ESTOLANO, AMANDA M.L. ; LIMA, NATHAN B. ; JUNIOR, ROGERIO V.A. ; BELARMINO, MARCIA K.D.L. ; SILVA, ANDERSON I.S. ; NASCIMENTO, CARLOS F.G. ; OLIVEIRA, NATHALIA T.C. ; LIMA, VICTOR M.E. ; IORAS, RENAN U.F. ; OLIVEIRA, ROMILDE A. ; LIMA, NATHALIA B.D.		
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2019-0386	Effects of Geometrical Feature on Microstructures and Mechanical Properties of Refill Friction Stir Spot Welding 6061 Aluminum Alloy	MATERIALS RESEARCH	FERNANDES, CAMILA ALBUQUERQUE ; URTIGA FILHO, SEVERINO LEOPOLDINO ; SUHUDDIN, UCEU ; SANTOS, JORGE FERNANDEZ DOS		
artigoEmPeriodico	 	2019	2238-7854	http://dx.doi.org/10.1016/j.jmrt.2017.10.009	Blocking of factorial experiments in galvanized wire zinc weight test	Journal of Materials Research and Technology-JMR&T	FERNANDES, LUCAS SONEGO ; FIGUEIREDO, JOSÉ DEMÉTRIO LEITE DE ; FILHO, OSCAR OLÍMPIO DE ARAÚJO ; ARAÚJO, EDVAL GONÇALVES DE		
